"new_it001" "new_it002" "new_it003" "new_it004" "old_it003" "old_it006" "old_it010" "old_it011" "old_it018" "old_it025" "old_it026" "old_it032" "old_it037" "old_it040" "old_it046" "old_it047" "old_it049" "old_it055" "old_it057" "old_it062" "old_it066" "old_it067" "old_it069" "old_it071"
"e" 3.34644945390358 2.96834996846128 3.32033237239274 3.25584701784318 3.14974547511312 3.41123745323901 3.25647169737204 3.46420323325635 3.26360490720352 3.3669528701586 3.20659971305595 2.91395403561064 2.61881269528038 2.40841678286221 2.88326880303155 2.91502997725863 2.41630508339636 2.50516227061986 2.59846929251447 2.66988640228556 2.72827282728273 2.64375149533456 2.63230052097614 2.26688221030201
"di" 2.51903063288346 2.69377759637861 2.66576225199254 2.7760005687069 2.76442307692308 2.71121152635283 2.83615508504537 2.67350373820801 2.64234035860333 2.69956132128529 2.88378766140603 2.80414150129422 2.85314915309982 2.7717919465923 2.81324656067221 3.01495417269658 2.95768480554118 2.6064596563681 2.90461078962106 2.37398816407047 2.81628162816282 2.55602520137172 2.74981393709115 2.72246307590565
"che" 2.29470819696245 2.40065303699306 2.4995760556215 2.16464064832587 2.55585407239819 2.02229712211563 2.29013630828456 2.30164011429913 2.02500786410821 2.15964905702823 2.54304160688666 2.3217507255471 2.60647919750041 2.76756665399079 2.50844385863745 2.18110399007649 2.10182715656224 1.97919507538863 2.34086242299795 1.75158152506632 1.84085075174184 1.84623973203605 1.96247404912061 2.39547358365787
"a" 2.07406317802376 2.03703016585655 2.00101746650839 2.09355228549087 1.99377828054299 1.99266639505167 1.9523117413678 1.97283438368497 2.08792072978924 2.12590454051217 2.05882352941176 2.16879755274924 2.04324946554843 2.08729454514725 2.2283548892001 2.03983185169871 1.81123362923451 2.22464643316321 1.85178271420571 2.14951363852799 1.81518151815182 2.20512002552038 2.22100356457362 1.82967154089206
"la" 1.88651491192586 1.85892916774888 1.92301170086485 2.14331413947537 1.9018665158371 2.01488944034964 1.83053776957222 2.16072337260735 1.60821012897137 1.75471485883544 1.99067431850789 2.0354537610793 1.7225785232692 1.91405754848523 1.60227366339896 1.99503824684722 1.98240515903029 2.01425955507071 2.10192271793915 2.06788653833073 2.35423542354235 1.85820240848553 2.11524149007012 1.91784848262179
"non" 1.73206339866878 1.57693592074506 1.77378327963371 1.71322954432359 1.77106900452489 1.38523649024038 1.69305102722237 1.65185736094258 1.4941805599245 1.81095571969555 1.72166427546628 1.75700054906267 1.86235816477553 1.97321164490641 1.77938874701376 1.19219902143202 1.41316030412802 1.46491604005143 1.31790181071495 1.50329909529964 1.66850018335167 1.54318526198261 1.45716635982608 1.92519656109927
"un" 1.54451513257088 1.58806723312679 1.58724775309479 1.07343427880856 1.57664027149321 1.35190192229342 1.6184153670896 1.45613966414843 1.60034602076125 1.40977091222676 1.41319942611191 1.58835987136246 1.68968919585594 1.24646131744623 1.24804349616937 1.44717800289436 1.80327216273238 1.48439630654147 1.44857196191898 1.68015781239371 1.68683535020169 1.31190685062605 1.47675192917858 1.68270997134249
"il" 1.27974110984445 1.8552187302883 1.29896557571647 1.35778773014857 1.25848416289593 1.55931701174118 1.28844718544997 1.30739421458488 1.21893677256999 1.43976603801882 1.39526542324247 1.24323476351086 1.22512744614373 1.67321587019901 1.35101738199193 1.62635242230032 1.60423550017913 1.4532278801574 1.69497853276087 1.32644037820556 1.35680234690136 1.335832203525 1.46891770143758 1.43654934234698
"in" 1.05174125694112 1.39141404771623 0.983550958114295 1.12675055093481 0.947398190045249 1.15559835549465 0.997760930196017 1.28390809096959 1.25039320541051 1.12856660792621 1.10114777618364 1.25500039218762 1.11001480019734 1.29293953606287 1.06680945712167 1.20253600716698 1.03897137852792 1.33634628121713 1.06402837408998 1.25841779470784 1.26145947928126 1.25209346837866 1.07720631438756 1.08751561466676
"è" 1.06277350788806 1.27639048643835 1.07512294386976 1.05921660624156 1.03930995475113 0.903737175450943 1.06454020505166 1.16256311895722 1.28184963825102 1.41352030295077 1.03299856527977 1.29421915444349 1.22923861207038 1.10702666159632 1.14918856577972 1.01991592584936 1.09470164404283 1.00518175088635 1.1424304648124 1.19039521121012 1.21378804547121 1.03277773347157 1.15946570566806 1.28223969431994
"per" 1.04070900599419 1.0315016140403 1.08868916398169 1.13385938721831 1.10647624434389 1.22967517315456 1.15881682837726 0.978588483970721 0.975149418055992 1.19605564095834 1.36657101865136 0.866734645854577 1.00723565203092 1.1028013689948 0.955597660433314 1.12328578319895 1.11062457704709 0.977909377800288 1.17229792794475 0.982926331542072 0.836083608360836 0.992902145306643 1.19080261663207 1.0434271438019
"una" 1.03703158901188 0.797744054023969 0.895370527386807 0.9063766261463 0.936792986425339 0.896329493684951 0.966335389087481 0.900301405253063 0.99087763447625 0.93359829027783 0.885939741750359 0.886344026982508 1.04834731129748 0.692947986648075 0.832028997446248 0.975122320997864 1.17033557581306 0.958429111310243 0.82135523613963 1.22780763213387 1.17711771177118 1.14044182151687 0.893101962474049 1.03607906532442
"mi" 1.06645092487037 1.02037030165857 1.09547227403765 1.17295798677756 1.13122171945701 0.75187969924812 1.15881682837726 0.755470309625396 0.617332494495124 0.899853773761764 0.946915351506456 0.643187700996157 1.0565696431508 1.19998309882959 0.774363621385617 0.940665701881331 0.883722781736396 0.755834339813769 0.709352249393317 0.714237126726073 0.94976164283095 0.881250498444852 0.975361353754554 0.936880005878463
